date,price
2024-07-20,14520.833333333334
2024-07-21,14245.833333333334
2024-07-22,14202.666666666666
2024-07-23,14147.333333333334
2024-07-24,14147.333333333334
2024-07-25,14147.166666666666
2024-07-26,14147.166666666666
2024-07-27,13679.166666666666
2024-07-28,14179.166666666666
2024-07-29,14133.333333333334
2024-07-30,14133.333333333334
2024-07-31,14133.333333333334
2024-08-01,14161.166666666666
2024-08-02,14161.166666666666
2024-08-03,14208.333333333334
2024-08-04,14395.833333333334
2024-08-05,14089.166666666666
2024-08-06,14322.5
2024-08-07,14097.5
2024-08-08,14168.5
2024-08-09,14069.666666666666
2024-08-10,14097.5
2024-08-11,13629.5
2024-08-12,14275.0
2024-08-13,14420.833333333334
2024-08-14,14243.333333333334
2024-08-15,14243.333333333334
2024-08-16,14243.333333333334
2024-08-17,14023.666666666666
2024-08-18,14300.0
2024-08-19,14498.666666666666
2024-08-20,14213.833333333334
2024-08-21,14198.166666666666
2024-08-22,14259.166666666666
2024-08-23,14225.833333333334
2024-08-24,13808.166666666666
2024-08-25,14225.833333333334
2024-08-26,14225.833333333334
2024-08-27,14225.833333333334
2024-08-28,14225.833333333334
2024-08-29,14202.0
2024-08-30,14558.5
2024-08-31,14249.5
2024-09-01,14771.333333333334
2024-09-02,14667.0
2024-09-03,14655.0
2024-09-04,14655.0
2024-09-05,14655.0
2024-09-06,14627.0
2024-09-07,14902.833333333334
2024-09-08,14812.5
2024-09-09,14655.0
2024-09-10,14688.0
2024-09-11,14688.0
2024-09-12,14660.166666666666
2024-09-13,14655.0
2024-09-14,14325.333333333334
2024-09-15,14952.833333333334
2024-09-16,14890.333333333334
2024-09-17,14655.0
2024-09-18,14676.166666666666
2024-09-19,14676.166666666666
2024-09-20,14828.5
2024-09-21,14756.166666666666
2024-09-22,14676.166666666666
2024-09-23,14676.166666666666
2024-09-24,14243.333333333334
2024-09-25,14841.666666666666
2024-09-26,14613.166666666666
2024-09-27,14642.166666666666
2024-09-28,14298.5
2024-09-29,14675.5
2024-09-30,14840.5
2024-10-01,14558.833333333334
2024-10-02,14622.666666666666
2024-10-03,14745.833333333334
2024-10-04,14745.833333333334
2024-10-05,14986.0
2024-10-06,15184.666666666666
2024-10-07,14745.833333333334
2024-10-08,14745.833333333334
2024-10-09,14745.833333333334
2024-10-10,14745.833333333334
2024-10-11,14745.833333333334
2024-10-12,14334.666666666666
2024-10-13,14334.666666666666
2024-10-14,14986.0
2024-10-15,14745.833333333334
2024-10-16,14745.833333333334
2024-10-17,14745.833333333334
2024-10-18,14745.833333333334
2024-10-19,14719.333333333334
2024-10-20,14393.0
2024-10-21,14841.666666666666
2024-10-22,14859.666666666666
2024-10-23,14608.0
2024-10-24,14796.166666666666
2024-10-25,14976.166666666666
2024-10-26,14796.166666666666
2024-10-27,14096.666666666666
2024-10-28,15250.0
2024-10-29,14879.0
2024-10-30,14782.333333333334
2024-10-31,13937.333333333334
2024-11-01,14944.333333333334
2024-11-02,14944.333333333334
2024-11-03,15094.5
2024-11-04,14951.833333333334
2024-11-05,15094.5
2024-11-06,15094.5
2024-11-07,15094.5
2024-11-08,15094.5
2024-11-09,15416.666666666666
2024-11-10,15569.333333333334
2024-11-11,14650.333333333334
2024-11-12,14973.666666666666
2024-11-13,14841.666666666666
2024-11-14,14735.0
2024-11-15,15530.666666666666
2024-11-16,14566.666666666666
2024-11-17,14841.666666666666
2024-11-18,14615.833333333334
2024-11-19,14697.166666666666
2024-11-20,14615.833333333334
2024-11-21,14669.333333333334
2024-11-22,14950.0
2024-11-23,15530.666666666666
2024-11-24,14841.666666666666
2024-11-25,14677.0
2024-11-26,14841.666666666666
2024-11-27,15277.833333333334
2024-11-28,15116.666666666666
2024-11-29,14841.666666666666
2024-11-30,14642.333333333334
2024-12-01,14863.833333333334
2024-12-02,14863.833333333334
2024-12-03,14736.166666666666
2024-12-04,14312.5
2024-12-05,14719.5
2024-12-06,15194.333333333334
2024-12-07,16097.166666666666
2024-12-08,15412.5
2024-12-09,15021.833333333334
2024-12-10,15021.833333333334
2024-12-11,15287.5
2024-12-12,15240.333333333334
2024-12-13,15282.0
2024-12-14,15097.5
2024-12-15,14562.833333333334
2024-12-16,15191.666666666666
2024-12-17,15194.0
2024-12-18,14968.833333333334
2024-12-19,15352.833333333334
2024-12-20,15195.5
2024-12-21,15297.333333333334
2024-12-22,16263.833333333334
2024-12-23,15352.833333333334
2024-12-24,15495.833333333334
2024-12-25,15194.333333333334
2024-12-26,15269.5
2024-12-27,15380.666666666666
2024-12-28,15701.333333333334
2024-12-29,15038.833333333334
2024-12-30,15611.166666666666
2024-12-31,15264.0
2025-01-01,14808.333333333334
2025-01-02,15263.833333333334
2025-01-03,15188.5
2025-01-04,15058.0
2025-01-05,15147.166666666666
2025-01-06,15161.166666666666
2025-01-07,15161.166666666666
2025-01-08,15666.666666666666
2025-01-09,15457.0
2025-01-10,15229.166666666666
2025-01-11,15233.333333333334
2025-01-12,15355.5
2025-01-13,15697.333333333334
2025-01-14,16313.833333333334
2025-01-15,16095.833333333334
2025-01-16,15335.5
2025-01-17,15340.0
2025-01-18,15420.833333333334
2025-01-19,15373.333333333334
2025-01-20,15135.833333333334
2025-01-21,15062.5
2025-01-22,16121.666666666666
2025-01-23,15394.5
2025-01-24,15394.5
2025-01-25,16129.166666666666
2025-01-26,16162.5
2025-01-27,15944.833333333334
2025-01-28,16395.833333333332
2025-01-29,15373.666666666666
2025-01-30,15394.5
2025-01-31,15741.666666666666
2025-02-01,15720.833333333334
2025-02-02,15720.833333333334
2025-02-03,15427.833333333334
2025-02-04,15394.5
2025-02-05,15229.166666666666
2025-02-06,15062.5
2025-02-07,15861.166666666666
2025-02-08,15145.833333333334
2025-02-09,14194.333333333334
2025-02-10,14194.333333333334
2025-02-11,14566.6
2025-02-12,14194.333333333334
2025-02-13,14420.833333333334
2025-02-14,14216.666666666666
2025-02-15,14137.5
2025-02-16,14398.5
2025-02-17,14225.0
2025-02-18,14201.42857142857
2025-02-19,14017.857142857143
2025-02-20,14237.5
2025-02-21,14282.142857142857
2025-02-22,14136.857142857143
2025-02-23,14509.42857142857
2025-02-24,14250.0
2025-02-25,14657.142857142857
2025-02-26,14307.142857142857
2025-02-27,14841.666666666666
2025-02-28,14763.857142857143
2025-03-01,14847.714285714286
2025-03-02,14703.714285714286
2025-03-03,14710.857142857143
2025-03-04,14582.142857142857
2025-03-05,14675.142857142857
2025-03-06,14585.714285714286
2025-03-07,14902.833333333334
2025-03-08,15069.5
2025-03-09,15972.333333333334
2025-03-10,14941.666666666666
2025-03-11,14941.666666666666
2025-03-12,14783.285714285714
2025-03-13,14941.666666666666
2025-03-14,14941.666666666666
2025-03-15,15065.42857142857
2025-03-16,14851.142857142857
2025-03-17,14717.0
2025-03-18,14638.42857142857
2025-03-19,14922.166666666666
2025-03-20,14922.166666666666
2025-03-21,14922.166666666666
2025-03-22,14897.166666666666
2025-03-23,15011.166666666666
2025-03-24,13979.166666666666
2025-03-25,15173.666666666666
2025-03-26,14977.833333333334
2025-03-27,15111.166666666666
2025-03-28,14715.333333333334
2025-03-29,15800.0
2025-03-30,15800.0
2025-03-31,15400.0
2025-04-01,15000.0
2025-04-02,14600.0
2025-04-03,14200.0
2025-04-04,14200.0
2025-04-05,15250.0
2025-04-06,15500.0
2025-04-07,15250.0
2025-04-08,14972.333333333334
2025-04-09,15770.833333333334
2025-04-10,15029.666666666666
2025-04-11,14937.666666666666
2025-04-12,14481.0
2025-04-13,14043.166666666666
